Arquitectura,LR,Batch Size,Dropout,Loss,Optimizer,Best Val Acc,Val Accuracy,Macro F1,Top-5 Acc
CNN-A,0.001,32,0.5,CrossEntropy,Adam,0.8096,0.8096,0.81,0.9692
CNN-A,0.001,64,0.5,CrossEntropy,Adam,0.8019,0.8019,0.8038,0.9433
CNN-B,0.001,32,0.3,CrossEntropy,Adam,0.8,0.8,0.7995,0.9587
CNN-A,0.001,64,0.3,CrossEntropy,RMSprop,0.8,0.8,0.8003,0.9558
CNN-A,0.001,32,0.3,CrossEntropy,Adam,0.7981,0.7981,0.7994,0.9587
CNN-A,0.001,64,0.5,CrossEntropy,RMSprop,0.7962,0.7962,0.7954,0.9462
CNN-A,0.001,32,0.3,CrossEntropy,RMSprop,0.7962,0.7962,0.7976,0.9577
CNN-B,0.0001,32,0.3,CrossEntropy,Adam,0.7952,0.7952,0.7931,0.9538
CNN-A,0.0001,32,0.3,CrossEntropy,RMSprop,0.7942,0.7942,0.7972,0.9462
CNN-A,0.001,32,0.5,CrossEntropy,RMSprop,0.7923,0.7923,0.7893,0.9558
CNN-A,0.0001,64,0.3,CrossEntropy,Adam,0.7913,0.7913,0.7926,0.9471
CNN-A,0.0001,32,0.5,CrossEntropy,Adam,0.7904,0.7904,0.7898,0.9385
CNN-A,0.0001,64,0.5,CrossEntropy,Adam,0.7894,0.7894,0.7916,0.95
CNN-A,0.0001,32,0.5,CrossEntropy,RMSprop,0.7846,0.7846,0.7839,0.9404
CNN-A,0.0001,32,0.3,CrossEntropy,Adam,0.7837,0.7837,0.7829,0.9442
CNN-A,0.0001,64,0.5,CrossEntropy,RMSprop,0.7837,0.7837,0.7841,0.9433
CNN-A,0.001,64,0.3,CrossEntropy,Adam,0.7827,0.7827,0.78,0.9462
CNN-A,0.0001,64,0.3,CrossEntropy,RMSprop,0.7817,0.7817,0.7814,0.9471
CNN-B,0.0001,32,0.5,CrossEntropy,Adam,0.7808,0.7808,0.7787,0.9577
CNN-B,0.001,64,0.5,CrossEntropy,Adam,0.775,0.775,0.7744,0.9481
CNN-B,0.001,64,0.3,CrossEntropy,Adam,0.7692,0.7692,0.7633,0.9558
CNN-A,0.001,32,0.3,MultiMargin,Adam,0.7683,0.7683,0.7657,0.9365
CNN-B,0.0001,32,0.5,CrossEntropy,RMSprop,0.7673,0.7673,0.7684,0.9442
CNN-A,0.001,32,0.5,MultiMargin,RMSprop,0.7673,0.7673,0.7665,0.949
CNN-B,0.001,32,0.3,CrossEntropy,RMSprop,0.7663,0.7663,0.7647,0.9481
CNN-B,0.0001,32,0.3,CrossEntropy,RMSprop,0.7654,0.7654,0.766,0.95
CNN-A,0.001,64,0.5,MultiMargin,RMSprop,0.7615,0.7615,0.7626,0.9433
CNN-A,0.001,32,0.5,MultiMargin,Adam,0.7606,0.7606,0.7597,0.9442
CNN-B,0.001,32,0.5,CrossEntropy,Adam,0.7567,0.7567,0.7502,0.9519
CNN-B,0.0001,64,0.3,CrossEntropy,Adam,0.7548,0.7548,0.7523,0.9337
CNN-A,0.001,64,0.3,MultiMargin,RMSprop,0.751,0.751,0.7505,0.9413
CNN-A,0.001,64,0.3,MultiMargin,Adam,0.751,0.751,0.7543,0.9462
CNN-A,0.001,32,0.3,MultiMargin,RMSprop,0.751,0.751,0.7496,0.9442
CNN-A,0.0001,32,0.5,MultiMargin,RMSprop,0.75,0.75,0.7508,0.9327
CNN-A,0.001,64,0.5,MultiMargin,Adam,0.7481,0.7481,0.7485,0.9452
CNN-A,0.0001,32,0.3,MultiMargin,RMSprop,0.7481,0.7481,0.7461,0.9356
CNN-B,0.0001,32,0.3,MultiMargin,RMSprop,0.7462,0.7462,0.7432,0.951
CNN-B,0.001,64,0.3,CrossEntropy,RMSprop,0.7452,0.7452,0.7422,0.9413
CNN-B,0.0001,64,0.3,CrossEntropy,RMSprop,0.7433,0.7433,0.7361,0.9413
CNN-B,0.0001,64,0.5,CrossEntropy,Adam,0.7423,0.7423,0.7426,0.9375
CNN-A,0.0001,32,0.3,MultiMargin,Adam,0.7356,0.7356,0.732,0.9308
CNN-B,0.001,32,0.3,MultiMargin,Adam,0.7356,0.7356,0.7372,0.949
CNN-A,0.0001,32,0.5,MultiMargin,Adam,0.7346,0.7346,0.7332,0.9423
CNN-A,0.0001,64,0.5,MultiMargin,RMSprop,0.7317,0.7317,0.7321,0.9423
CNN-B,0.001,64,0.3,MultiMargin,Adam,0.7308,0.7308,0.7257,0.9433
CNN-A,0.0001,64,0.5,MultiMargin,Adam,0.7288,0.7288,0.7265,0.9317
CNN-B,0.0001,32,0.3,MultiMargin,Adam,0.7279,0.7279,0.7233,0.9462
CNN-A,0.0001,64,0.3,MultiMargin,Adam,0.7279,0.7279,0.729,0.926
CNN-B,0.0001,64,0.5,CrossEntropy,RMSprop,0.7231,0.7231,0.7166,0.9269
CNN-A,0.0001,64,0.3,MultiMargin,RMSprop,0.7221,0.7221,0.7169,0.926
CNN-B,0.001,32,0.5,CrossEntropy,RMSprop,0.7173,0.7173,0.7106,0.9356
