Arquitectura,Init Filters,LR,Batch Size,Dropout,Loss,Optimizer,Best Val Acc,Val Accuracy,Macro F1,Top-5 Acc
CNN-A,64,0.001,32,0.5,CrossEntropy,Adam,0.8481,0.8481,0.8509,0.9683
CNN-A,64,0.001,64,0.5,CrossEntropy,Adam,0.8462,0.8462,0.8475,0.9683
CNN-A,64,0.001,32,0.3,CrossEntropy,Adam,0.8394,0.8394,0.8393,0.9644
CNN-A,32,0.001,64,0.5,CrossEntropy,Adam,0.8337,0.8337,0.8337,0.9596
CNN-A,32,0.001,32,0.5,CrossEntropy,Adam,0.8327,0.8327,0.8337,0.9654
CNN-B,32,0.001,32,0.3,CrossEntropy,Adam,0.8298,0.8298,0.8298,0.9702
CNN-B,16,0.001,32,0.3,CrossEntropy,Adam,0.826,0.826,0.8229,0.9692
CNN-A,32,0.001,32,0.3,CrossEntropy,Adam,0.8192,0.8192,0.8197,0.9606
CNN-A,64,0.001,64,0.3,CrossEntropy,RMSprop,0.8173,0.8173,0.8173,0.9615
CNN-A,16,0.001,32,0.5,CrossEntropy,Adam,0.8115,0.8115,0.815,0.9577
CNN-A,32,0.001,64,0.3,CrossEntropy,RMSprop,0.8058,0.8058,0.8067,0.9567
CNN-A,16,0.001,32,0.3,CrossEntropy,Adam,0.8038,0.8038,0.8017,0.9548
CNN-B,64,0.001,32,0.3,CrossEntropy,Adam,0.8019,0.8019,0.8011,0.9567
CNN-A,16,0.001,64,0.5,CrossEntropy,Adam,0.7981,0.7981,0.7982,0.9538
CNN-A,16,0.001,64,0.3,CrossEntropy,RMSprop,0.7875,0.7875,0.7875,0.9548
