Arquitectura,Init Filters,LR,Batch Size,Dropout,Loss,Optimizer,Best Val Acc,Val Accuracy,Macro F1,Top-5 Acc
CNN-A,64,0.001,32,0.5,CrossEntropy,Adam,0.8442,0.8442,0.8432,0.9683
CNN-A,64,0.001,32,0.3,CrossEntropy,Adam,0.8433,0.8433,0.8431,0.9654
CNN-A,64,0.001,64,0.5,CrossEntropy,Adam,0.8337,0.8337,0.8346,0.9663
CNN-A,64,0.001,64,0.3,CrossEntropy,RMSprop,0.825,0.825,0.8262,0.9673
CNN-B,64,0.001,32,0.3,CrossEntropy,Adam,0.8183,0.8183,0.8182,0.9606
CNN-B,16,0.001,32,0.3,CrossEntropy,Adam,0.8135,0.8135,0.8135,0.9548
CNN-A,16,0.001,64,0.5,CrossEntropy,Adam,0.801,0.801,0.8019,0.9596
CNN-A,16,0.001,32,0.3,CrossEntropy,Adam,0.799,0.799,0.799,0.9558
CNN-A,16,0.001,32,0.5,CrossEntropy,Adam,0.7952,0.7952,0.7965,0.9538
CNN-A,16,0.001,64,0.3,CrossEntropy,RMSprop,0.7923,0.7923,0.7921,0.9442
