Hidden Dims,LR,Batch Size,Dropout,Loss,Optimizer,Best Val Acc,Val Accuracy,Macro F1,Top-5 Acc
"[1024, 512]",0.001,64,0.3,CrossEntropy,Adam,0.4769,0.4769,0.4766,0.7567
"[1024, 512]",0.0001,32,0.3,CrossEntropy,Adam,0.4721,0.4721,0.4675,0.7375
"[1024, 512]",0.0001,64,0.3,CrossEntropy,Adam,0.4712,0.4712,0.467,0.7452
"[1024, 512]",0.0001,64,0.3,CrossEntropy,RMSprop,0.4683,0.4683,0.4694,0.7413
"[1024, 512]",0.001,32,0.3,CrossEntropy,Adam,0.4683,0.4683,0.4661,0.7365
"[1024, 512]",0.001,32,0.5,CrossEntropy,RMSprop,0.4663,0.4663,0.4612,0.7337
"[1024, 512]",0.0001,32,0.3,CrossEntropy,RMSprop,0.4663,0.4663,0.4649,0.7298
"[1024, 512]",0.001,64,0.5,CrossEntropy,Adam,0.4654,0.4654,0.4591,0.7462
"[1024, 512]",0.001,32,0.3,CrossEntropy,RMSprop,0.4644,0.4644,0.4683,0.7221
"[1024, 512]",0.001,32,0.5,CrossEntropy,Adam,0.4644,0.4644,0.467,0.7404
"[2048, 1024, 512, 256]",0.0001,64,0.3,CrossEntropy,Adam,0.4635,0.4635,0.4564,0.7202
"[1024, 512]",0.001,64,0.5,CrossEntropy,RMSprop,0.4625,0.4625,0.4557,0.7385
"[1024, 512]",0.001,64,0.3,CrossEntropy,RMSprop,0.4596,0.4596,0.461,0.7452
"[2048, 1024, 512, 256]",0.0001,32,0.3,CrossEntropy,RMSprop,0.4587,0.4587,0.4558,0.7327
"[2048, 1024, 512, 256]",0.001,64,0.3,CrossEntropy,Adam,0.4567,0.4567,0.452,0.7317
"[2048, 1024, 512, 256]",0.0001,64,0.3,CrossEntropy,RMSprop,0.4558,0.4558,0.4531,0.7298
"[2048, 1024, 512, 256]",0.0001,32,0.3,CrossEntropy,Adam,0.4558,0.4558,0.4505,0.7327
"[2048, 1024, 512, 256]",0.001,32,0.3,CrossEntropy,Adam,0.4548,0.4548,0.4472,0.7308
"[1024, 512]",0.0001,32,0.5,CrossEntropy,RMSprop,0.4529,0.4529,0.444,0.7327
"[1024, 512]",0.0001,32,0.5,CrossEntropy,Adam,0.451,0.451,0.4485,0.7173
"[2048, 1024, 512, 256]",0.001,32,0.3,CrossEntropy,RMSprop,0.45,0.45,0.4552,0.7481
"[1024, 512]",0.001,64,0.3,MultiMargin,Adam,0.449,0.449,0.4417,0.725
"[1024, 512]",0.001,32,0.3,MultiMargin,Adam,0.4471,0.4471,0.4475,0.7144
"[1024, 512]",0.0001,64,0.5,CrossEntropy,Adam,0.4471,0.4471,0.4366,0.7087
"[2048, 1024, 512, 256]",0.001,64,0.3,CrossEntropy,RMSprop,0.4471,0.4471,0.4463,0.7471
"[1024, 512]",0.0001,64,0.5,CrossEntropy,RMSprop,0.4462,0.4462,0.4417,0.724
"[1024, 512]",0.001,32,0.3,MultiMargin,RMSprop,0.4433,0.4433,0.4392,0.7288
"[1024, 512]",0.001,64,0.3,MultiMargin,RMSprop,0.4413,0.4413,0.4436,0.7317
"[1024, 512]",0.001,64,0.5,MultiMargin,Adam,0.4375,0.4375,0.432,0.7125
"[1024, 512]",0.0001,64,0.3,MultiMargin,RMSprop,0.4365,0.4365,0.4357,0.7413
"[1024, 512]",0.001,64,0.5,MultiMargin,RMSprop,0.4356,0.4356,0.426,0.7269
"[2048, 1024, 512, 256]",0.001,64,0.5,CrossEntropy,Adam,0.4337,0.4337,0.4257,0.7337
"[1024, 512]",0.0001,32,0.3,MultiMargin,RMSprop,0.4317,0.4317,0.4277,0.7106
"[2048, 1024, 512, 256]",0.001,64,0.5,CrossEntropy,RMSprop,0.4288,0.4288,0.4233,0.7106
"[2048, 1024, 512, 256]",0.001,32,0.5,CrossEntropy,Adam,0.4288,0.4288,0.426,0.7337
"[1024, 512]",0.0001,64,0.3,MultiMargin,Adam,0.4288,0.4288,0.4274,0.7192
"[1024, 512]",0.001,32,0.5,MultiMargin,RMSprop,0.426,0.426,0.4143,0.725
"[2048, 1024, 512, 256]",0.0001,32,0.3,MultiMargin,RMSprop,0.425,0.425,0.4156,0.7231
"[2048, 1024, 512, 256]",0.0001,64,0.3,MultiMargin,RMSprop,0.424,0.424,0.4164,0.7192
"[2048, 1024, 512, 256]",0.001,32,0.5,CrossEntropy,RMSprop,0.4231,0.4231,0.4204,0.7423
"[1024, 512]",0.001,32,0.5,MultiMargin,Adam,0.4221,0.4221,0.4133,0.7154
"[1024, 512]",0.0001,32,0.5,MultiMargin,RMSprop,0.4212,0.4212,0.4087,0.725
"[1024, 512]",0.0001,32,0.3,MultiMargin,Adam,0.4202,0.4202,0.4163,0.7221
"[1024, 512]",0.0001,32,0.5,MultiMargin,Adam,0.4163,0.4163,0.4066,0.7144
"[1024, 512]",0.0001,64,0.5,MultiMargin,RMSprop,0.4144,0.4144,0.407,0.7135
"[2048, 1024, 512, 256]",0.001,64,0.3,MultiMargin,Adam,0.4115,0.4115,0.4087,0.7317
"[2048, 1024, 512, 256]",0.0001,32,0.3,MultiMargin,Adam,0.4048,0.4048,0.3995,0.7096
"[1024, 512]",0.0001,64,0.5,MultiMargin,Adam,0.4029,0.4029,0.3955,0.7038
"[2048, 1024, 512, 256]",0.001,32,0.3,MultiMargin,RMSprop,0.401,0.401,0.3959,0.7144
"[2048, 1024, 512, 256]",0.0001,64,0.3,MultiMargin,Adam,0.4,0.4,0.3838,0.7029
"[2048, 1024, 512, 256]",0.001,32,0.3,MultiMargin,Adam,0.399,0.399,0.3933,0.7135
"[2048, 1024, 512, 256]",0.001,64,0.3,MultiMargin,RMSprop,0.3971,0.3971,0.3853,0.7135
"[2048, 1024, 512, 256]",0.0001,32,0.5,CrossEntropy,RMSprop,0.3942,0.3942,0.3734,0.6788
"[2048, 1024, 512, 256]",0.0001,64,0.5,CrossEntropy,RMSprop,0.3769,0.3769,0.3395,0.6808
"[2048, 1024, 512, 256]",0.0001,32,0.5,CrossEntropy,Adam,0.374,0.374,0.3528,0.6837
"[2048, 1024, 512, 256]",0.0001,64,0.5,CrossEntropy,Adam,0.3712,0.3712,0.3464,0.6885
"[2048, 1024, 512, 256]",0.001,32,0.5,MultiMargin,Adam,0.3692,0.3692,0.35,0.6933
"[2048, 1024, 512, 256]",0.001,64,0.5,MultiMargin,RMSprop,0.3567,0.3567,0.3341,0.6923
"[2048, 1024, 512, 256]",0.001,32,0.5,MultiMargin,RMSprop,0.3538,0.3538,0.3306,0.6923
"[2048, 1024, 512, 256]",0.001,64,0.5,MultiMargin,Adam,0.3538,0.3538,0.3311,0.6769
"[2048, 1024, 512, 256]",0.0001,32,0.5,MultiMargin,RMSprop,0.3442,0.3442,0.3144,0.6702
"[2048, 1024, 512, 256]",0.0001,32,0.5,MultiMargin,Adam,0.3385,0.3385,0.3158,0.6519
"[2048, 1024, 512, 256]",0.0001,64,0.5,MultiMargin,RMSprop,0.3346,0.3346,0.3027,0.6788
"[2048, 1024, 512, 256]",0.0001,64,0.5,MultiMargin,Adam,0.3231,0.3231,0.2903,0.6673
